iter	Logloss
0	0.5900338742
1	0.5309677255
2	0.4913454279
3	0.4658747838
4	0.4499369153
5	0.4373712022
6	0.4283642777
7	0.4188303597
8	0.4137074237
9	0.409822299
10	0.4055449912
11	0.4023949788
12	0.3994691319
13	0.3968734758
14	0.3947742343
15	0.3919199702
16	0.3896239956
17	0.388327113
18	0.3866311738
19	0.3854298035
20	0.3845928929
21	0.3820048153
22	0.3809736014
23	0.3799400527
24	0.3787268776
25	0.3779273528
26	0.3770403675
27	0.3763294397
28	0.3756538435
29	0.3747385285
30	0.3741044564
31	0.3737680504
32	0.3727970907
33	0.3722945287
34	0.3717694446
35	0.3710132396
36	0.3700734244
37	0.3695426346
38	0.369159953
39	0.3686580538
40	0.3680933863
41	0.3675506872
42	0.3671484788
43	0.3666574143
44	0.3662206148
45	0.3660591246
46	0.3656140131
47	0.3654395555
48	0.3650932253
49	0.364855167
50	0.3645491998
51	0.3643728106
52	0.3641391397
53	0.3638756908
54	0.3635971684
55	0.3631976536
56	0.3628168557
57	0.3626205369
58	0.3623161069
59	0.3621661943
60	0.3618972306
61	0.36165147
62	0.3614086803
63	0.3611791333
64	0.3610160102
65	0.3608467158
66	0.3606313414
67	0.3604461706
68	0.3599680461
69	0.3595222666
70	0.3592603321
71	0.3589073509
72	0.3587178164
73	0.3585282018
74	0.3583072192
75	0.3580433874
76	0.3577786438
77	0.3575572099
78	0.357367595
79	0.3572104393
80	0.3568002978
81	0.3565158302
82	0.3563458918
83	0.3562002819
84	0.3561034999
85	0.3560033356
86	0.3557789892
87	0.3556205786
88	0.3553510641
89	0.3551138246
90	0.3549956856
91	0.3548683487
92	0.354725984
93	0.3544760882
94	0.3544006274
95	0.3543056013
96	0.3541063577
97	0.3539415998
98	0.3536955457
99	0.3535275398
100	0.3534252313
101	0.3533504773
102	0.3531693162
103	0.3529261137
104	0.3526976771
105	0.3524694952
106	0.3523573681
107	0.3521815145
108	0.3520034756
109	0.3519080302
110	0.3517552034
111	0.3516336491
112	0.3513037883
113	0.3509931244
114	0.3508558758
115	0.3506837055
116	0.3504852072
117	0.3503132529
118	0.3501612434
119	0.3500168222
120	0.3499141336
121	0.3497797239
122	0.3496700346
123	0.3495136146
124	0.3492975298
125	0.3492219784
126	0.3491297457
127	0.348990756
128	0.3488654745
129	0.3487384581
130	0.3486039069
131	0.3484514789
132	0.3482572513
133	0.3481363326
134	0.347943137
135	0.3477848888
136	0.3476729426
137	0.3475452889
138	0.3474452062
139	0.3473742506
140	0.3472057862
141	0.3470812642
142	0.3469450194
143	0.3467649339
144	0.3466674184
145	0.3465475552
146	0.3462885542
147	0.3462050423
148	0.3460718724
149	0.3459823636
150	0.3458172888
151	0.3457234846
152	0.3456161331
153	0.3455460327
154	0.3454621493
155	0.3452752992
156	0.3451935353
157	0.3451364687
158	0.3450419223
159	0.3448978977
160	0.3448084741
161	0.3446673752
162	0.3445527959
163	0.3444824136
164	0.3443025119
165	0.3442295835
166	0.344187512
167	0.3440912457
168	0.3439592809
169	0.343866901
170	0.3437697656
171	0.3437064981
172	0.3434832844
173	0.3434121928
174	0.3433620217
175	0.3432180583
176	0.3431407145
177	0.343031812
178	0.3429528811
179	0.3428486423
180	0.3427458074
181	0.3425227219
182	0.3423954586
183	0.3422541537
184	0.3421173662
185	0.3419650214
186	0.3418609925
187	0.3417574919
188	0.3416145802
189	0.3415496177
190	0.3414744039
191	0.3413933992
192	0.3412775398
193	0.3411917232
194	0.3410558594
195	0.3409521489
196	0.3408058265
197	0.3407387673
198	0.3406278995
199	0.3405301876
200	0.3403906949
201	0.3403417041
202	0.3402823614
203	0.3401609793
204	0.3400282381
205	0.3398943747
206	0.3398305781
207	0.3397315348
208	0.3396253577
209	0.3395100102
210	0.3394641497
211	0.3393756532
212	0.3393230104
213	0.3392489713
214	0.3390694403
215	0.3389860302
216	0.3389121373
217	0.3387629023
218	0.3386577795
219	0.3385325945
220	0.3384546088
221	0.3383415233
222	0.3382281979
223	0.3381770355
224	0.3381026732
225	0.33796604
226	0.3378568779
227	0.337749507
228	0.3376132115
229	0.3375211269
230	0.3373839763
231	0.3372967086
232	0.3372135792
233	0.3371600555
234	0.3370205683
235	0.3369041332
236	0.3368505238
237	0.3366782386
238	0.3365917614
239	0.3365335405
240	0.3364327356
241	0.3363876876
242	0.3363421262
243	0.3362791779
244	0.3362081427
245	0.3361450656
246	0.3360662993
247	0.3359690148
248	0.3358776099
249	0.3357854725
250	0.3357215796
251	0.3356075736
252	0.3355293212
253	0.3354486587
254	0.3354069672
255	0.335310921
256	0.3352039182
257	0.3350970604
258	0.3350476395
259	0.334956562
260	0.3348806544
261	0.3347848946
262	0.3347337545
263	0.3346449024
264	0.3345500821
265	0.3344540202
266	0.3343914949
267	0.3342723431
268	0.3342171782
269	0.3341462074
270	0.334027596
271	0.333996072
272	0.3339403704
273	0.3338862863
274	0.3337334763
275	0.3336546487
276	0.3335741012
277	0.3334985673
278	0.3333825121
279	0.3332896255
280	0.3331752846
281	0.3330910486
282	0.3330020651
283	0.332898149
284	0.3328495363
285	0.3327637567
286	0.3327073778
287	0.3326767958
288	0.332602585
289	0.3324858748
290	0.3323886
291	0.3323357113
292	0.3321974518
293	0.3321610264
294	0.3320751552
295	0.3320168267
296	0.3319363915
297	0.3318710043
298	0.3317945629
299	0.3316956912
