dataset,stat,kind,season,level_id,pitch_tag,n_players,mu,var_obs,var_within,var_true,var_between,K,n_50,n_70,n_80
hitters,pull_FB_pct,rate,2022.0,1,,584,0.0902902734506362,0.0020604133639468,0.0008131602280531,0.0012472531358936,,64.85506791449689,64.85506791449689,151.32849180049274,259.42027165798754
hitters,pull_FB_pct,rate,2024.0,14,,264,0.0878692220907861,0.0030474161702604,0.0013568922434296,0.0016905239268308,,46.41028543156849,46.41028543156849,108.29066600699312,185.641141726274
hitters,pull_FB_pct,rate,2023.0,1,,576,0.0926096125499787,0.0020798358693549,0.0008263135930698,0.0012535222762851,,66.03755793025005,66.03755793025005,154.08763517058344,264.1502317210002
hitters,pull_FB_pct,rate,2021.0,14,,248,0.0710404877589652,0.0018141543772302,0.0011101702502437,0.0007039841269864,,92.74321710977922,92.74321710977922,216.40083992281816,370.9728684391169
hitters,pull_FB_pct,rate,2015.0,1,,608,0.0597064868316593,0.0014649954141922,0.0006581609821527,0.0008068344320395,,68.58258105069457,68.58258105069457,160.02602245162066,274.3303242027783
hitters,pull_FB_pct,rate,2022.0,11,,313,0.08586304260175,0.0019539753791864,0.001253479435778,0.0007004959434083,,111.0500143584128,111.0500143584128,259.1167001696299,444.2000574336512
hitters,pull_FB_pct,rate,2025.0,14,,249,0.092209053917969,0.0034115896733264,0.0013302163499132,0.0020813733234132,,39.21697758490183,39.21697758490183,91.5062810314376,156.8679103396073
hitters,pull_FB_pct,rate,2018.0,1,,604,0.0704649353953111,0.0016943952306689,0.0007869501370457,0.0009074450936231,,71.18026604070077,71.18026604070077,166.08728742830178,284.72106416280315
hitters,pull_FB_pct,rate,2024.0,1,,564,0.0938915391675623,0.0020836144834744,0.000820872503428,0.0012627419800464,,66.37395238667997,66.37395238667997,154.87255556891992,265.4958095467199
hitters,pull_FB_pct,rate,2023.0,14,,241,0.0890266545765676,0.0030476157657237,0.0013883618657003,0.0016592539000234,,47.87793806018977,47.87793806018977,111.71518880710948,191.5117522407591
hitters,pull_FB_pct,rate,2023.0,11,,707,0.0879525649207057,0.0020060709798207,0.0009392511236759,0.0010668198561448,,74.19255550272273,74.19255550272273,173.11596283968638,296.7702220108909
hitters,pull_FB_pct,rate,2020.0,1,,459,0.0908094034391579,0.0022443904896957,0.0012634996960479,0.0009808907936478,,83.17150637038802,83.17150637038802,194.06684819757203,332.68602548155206
hitters,pull_FB_pct,rate,2019.0,1,,609,0.0730341899407085,0.0015664129546389,0.0007791506433553,0.0007872623112835,,84.99445962303486,84.99445962303486,198.3204057870813,339.9778384921394
hitters,pull_FB_pct,rate,2017.0,1,,602,0.0696423804479944,0.001538441989495,0.0007775331894946,0.0007609088000003,,84.15122875895155,84.15122875895155,196.35286710422028,336.60491503580624
hitters,pull_FB_pct,rate,2025.0,1,,576,0.0971450111591175,0.002156703512638,0.0008943137606613,0.0012623897519766,,68.47763781247372,68.47763781247372,159.781154895772,273.91055124989487
hitters,pull_FB_pct,rate,2022.0,14,,257,0.0849808435280911,0.002395726514566,0.0013160211581334,0.0010797053564325,,71.01881448312034,71.01881448312034,165.71056712728077,284.0752579324813
hitters,pull_FB_pct,rate,2021.0,1,,607,0.086328218063359,0.0021213688140907,0.0009198343611727,0.0012015344529179,,64.64577206905055,64.64577206905055,150.84013482778462,258.5830882762022
hitters,pull_FB_pct,rate,2025.0,11,,715,0.0917709510842541,0.0024603660237875,0.0010173621888909,0.0014430038348965,,56.76079148626707,56.76079148626707,132.4418468012898,227.04316594506827
hitters,pull_FB_pct,rate,2016.0,1,,602,0.0672711107672517,0.0014740481866986,0.0007401785725007,0.0007338696141979,,84.49980433781688,84.49980433781688,197.16621012157276,337.99921735126753
hitters,pull_FB_pct,rate,2024.0,11,,681,0.0914111949586597,0.0020440719572772,0.0009342373928535,0.0011098345644237,,73.83564763367615,73.83564763367615,172.283177811911,295.3425905347046
hitters,pull_FB_pct,rate,2025.0,16,,15,0.1041969881969882,0.0063483897866254,0.0039598413754875,0.0023885484111378,,38.07811766025699,38.07811766025699,88.84894120726632,152.31247064102797
hitters,chase,rate,2024.0,1,,622,0.3346630789506271,0.0044268379511904,0.0011369387349581,0.0032898992162323,,66.68101023863937,66.68101023863937,155.58902389015853,266.7240409545575
hitters,chase,rate,2021.0,1,,726,0.3306229628349388,0.0057251730166266,0.0015657105197823,0.0041594624968443,,52.20673511279153,52.20673511279153,121.81571526318022,208.8269404511661
hitters,chase,rate,2015.0,1,,715,0.3349726739025591,0.0050490062844456,0.0016433852495343,0.0034056210349113,,64.41126548066735,64.41126548066735,150.29295278822383,257.6450619226694
hitters,chase,rate,2023.0,16,,17,0.2657908062808718,0.0054294508910066,0.0063320214827927,1e-8,,19514604.35774359,19514604.35774359,45534076.83473504,78058417.43097436
hitters,chase,rate,2018.0,1,,706,0.330071209009628,0.0058092611766586,0.0015246615310754,0.0042845996455831,,50.609070691237065,50.609070691237065,118.08783161288648,202.4362827649483
hitters,chase,rate,2025.0,14,,327,0.2914728693903384,0.0051592736919419,0.0019253133195393,0.0032339603724025,,62.85867852990391,62.85867852990391,146.67024990310912,251.43471411961565
hitters,chase,rate,2021.0,14,,323,0.3071370307402533,0.0064908423490805,0.0020210411044977,0.0044698012445827,,46.609247804077306,46.609247804077306,108.75491154284704,186.43699121630925
hitters,chase,rate,2016.0,1,,722,0.3339310695453139,0.0054341871319522,0.0017066739952796,0.0037275131366726,,58.67010770515428,58.67010770515428,136.89691797869332,234.68043082061712
hitters,chase,rate,2024.0,14,,343,0.3014942454109319,0.0058231925134243,0.0019612344146734,0.0038619580987508,,53.530748395002256,53.530748395002256,124.9050795883386,214.12299358000905
hitters,chase,rate,2017.0,1,,716,0.3335254703330199,0.0062742407719895,0.0016633903662273,0.0046108504057621,,47.20937818636834,47.20937818636834,110.1552157681928,188.83751274547336
hitters,chase,rate,2021.0,16,,11,0.2751585535676444,0.0030753270707208,0.0073527831800478,1e-8,,19944631.39662062,19944631.39662062,46537473.25878145,79778525.58648248
hitters,chase,rate,2022.0,16,,29,0.3127578067734655,0.0111528097235021,0.0067333676651229,0.0044194420583792,,47.63518024140449,47.63518024140449,111.14875389661049,190.540720965618
hitters,chase,rate,2023.0,14,,319,0.2989675909221231,0.0058739587300532,0.0019078329882446,0.0039661257418085,,51.84400549660163,51.84400549660163,120.96934615873714,207.37602198640656
hitters,chase,rate,2023.0,1,,624,0.3306582361280401,0.004591197521687,0.0009596210909949,0.003631576430692,,59.94415778729968,59.94415778729968,139.86970150369925,239.77663114919875
hitters,chase,rate,2022.0,14,,340,0.3299900680158833,0.0068176058342536,0.0020900652890539,0.0047275405451996,,45.767789913776,45.767789913776,106.79150979881064,183.07115965510403
